STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",11-03-17,0.16,,61,,52
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",12-03-17,0.02,,67,77,61
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",13-03-17,0.12,,61,67,57
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",14-03-17,0.2,,60,67,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",15-03-17,0.08,,54,57,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",16-03-17,0,,58,66,50
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",17-03-17,0.08,,60,64,55
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",18-03-17,0.02,,61,65,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",19-03-17,0,,60,67,54
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",20-03-17,0,,62,67,56
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",21-03-17,0,,62,68,58
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",22-03-17,0,,61,66,56
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",23-03-17,0,,63,,58
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",24-03-17,0,,62,72,56
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",25-03-17,0,,62,74,56
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",26-03-17,0,,62,70,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",27-03-17,0.01,,62,69,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",28-03-17,0,,62,70,55
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",29-03-17,0,,65,73,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",30-03-17,0,,69,86,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",31-03-17,,,65,74,57
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",01-04-17,0,,63,,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",02-04-17,0.16,,62,69,56
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",03-04-17,0,,64,71,58
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",04-04-17,0,,66,,56
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",05-04-17,0,,78,90,65
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",06-04-17,0,,67,76,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",07-04-17,0,,65,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",08-04-17,0,,64,70,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",09-04-17,0,,64,70,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",10-04-17,0,,64,72,57
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",11-04-17,0,,67,78,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",12-04-17,0,,76,91,64
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",13-04-17,0.02,,69,81,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",14-04-17,0.08,,66,,63
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",15-04-17,0.16,,65,70,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",16-04-17,0.01,,65,,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",17-04-17,0,,67,74,61
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",18-04-17,0,,66,73,60
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",19-04-17,0,,66,,58
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",20-04-17,0,,67,,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",21-04-17,0,,74,88,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",22-04-17,0,,78,,67
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",23-04-17,0,,66,71,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",24-04-17,0,,65,71,60
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",25-04-17,0,,66,73,56
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",26-04-17,0,,70,80,60
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",27-04-17,0,,68,76,62
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",28-04-17,0,,67,74,63
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",29-04-17,0,,67,75,60
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",30-04-17,0.01,,69,81,61
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",01-05-17,0,,70,78,64
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",02-05-17,,,69,,62
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",03-05-17,0.04,,69,76,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",04-05-17,0,,69,,63
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",05-05-17,0,,69,76,61
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",06-05-17,0,,70,77,66
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",07-05-17,0,,69,76,62
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",08-05-17,0,,72,81,61
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",09-05-17,0,,81,98,69
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",10-05-17,0,,78,,69
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",11-05-17,0,,71,78,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",12-05-17,0,,71,80,63
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",13-05-17,0,,73,,66
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",14-05-17,0,,75,81,67
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",15-05-17,0,,75,80,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",16-05-17,0,,73,80,68
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",17-05-17,0,,76,84,66
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",18-05-17,0,,78,,69
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",19-05-17,0.02,,73,80,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",20-05-17,0.12,,69,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",21-05-17,0,,70,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",22-05-17,,,74,,
